nom,leonoreid,bnfids
Auguste Dumont,LH/846/5,107380587
Ramón María Narváez,LH/1975/53,169677232
Étienne Geoffroy Saint-Hilaire,LH/1115/16,119046234
Benjamin Nicolas Marie Appert,LH/44/13,127636279
Marie Noël,19800035/898/5032,11917791t
Maurice Emmanuel,19800035/463/61865,123937981
Claude Bernard,LH/194/69,11891495d
Paul Brouardel,LH/374/16,12208850g
Paul Brouardel,LH/374/17,12208850g
Henri Lehmann,LH/1567/3,11961136m
Edme François Jomard,LH/1373/8,121648063
Émile Augier,LH/75/1,12131147d
Jules Goux,19800035/643/74259,14975983x
René Panhard,LH/2042/39,167680878
Jean Lannes,LH/1472/39,11948638z
Édouard Mortier,C/0/41,10141329z
Édouard Adolphe Casimir Joseph Mortier,C/0/41,10141329z
Édouard Dhorme,19800035/681/78087,11900057t
Édouard André,LH/34/33,120122449
Édouard Nanny,19800035/1478/71593,140153975
Édouard Phillips,LH/2142/45,12322271x
Édouard Risler,LH/2337/65,12571603p
Élie-Abel Carrière,LH/436/32,12439177s
Élie Cartan,LH/437/47,11895352t
Émile Bourgeois,LH/327/74,12285111k | 154517222
Émile Gaston Chassinat,LH/500/89,11896299f
Charles Andler,19800035/763/86686,11888770c
Émile Marchoux,19800035/390/52315,11184293g
Émile Oustalet,LH/2028/39,125594714
Joseph Auguste Émile Vaudremer,LH/2679/38,14565552n
Émile de Kératry,LH/1396/76,12996732v
Paul Taffanel,LH/2562/17,14789727q
Étienne-Jean Delécluze,LH/709/25,12393802f
Félix Faure,C/0/8,12183684h
Armand Fallières,C/0/10,120039072
Louis Renault,LH/2292/15,11952325j
Leconte de Lisle,LH/1536/74,119120027
Paul Deschanel,C/0/12,123074838
Lazare Carnot,LH/430/43,118952291
Joseph Marie Jacquard,LH/1340/38,12083432j
Georges Bidault,C/0/19,12317811q
Antoine Bourdelle,LH/294/36,11893395m
Gabriel Tarde,LH/2568/4,119260221
Jean Casimir-Perier,C/0/7,148804732
Antoine Becquerel,LH/161/76,12403360j | 15289783g
Félix Gustave Saussier,LH/2465/49,13212120h
Alfred Potiquet,LH/2207/26,153078290
Hyacinthe François Joseph Despinoy,LH/755/38,10700834w
Jacques-Ambroise Monprofit,LH/1912/12,16548616n
Jacques-Antoine-Claude-Marie Boudinet,LH/309/62,155553808
Jacques-Gabriel Aubin,LH/66/57,155439582
Jacques-Gérard Milbert,LH/1875/40,12625789m
Jacques-Marie Dumaz,LH/844/24,134840942
Jacques-Pierre Orillard de Villemanzy,LH/2021/40,13605589s
Jacques David Martin de Campredon,LH/1766/49,129948737
Jacques David Martin de Campredon,LH/415/91,129948737
Jacques Louis Vialla,LH/2704/7,12522735s
Jean-Baptiste Bertrand,LH/218/1,14969658n
Jean-Baptiste-Pierre Bevière,LH/229/39,149552362
Jean-Baptiste Antoine Blatin,LH/256/7,124600293
Jean-Baptiste Cécille,LH/460/19,10721784t
Jean-Baptiste Juvénal Corbineau,LH/588/28,10717082f
Jean-Louis Calmon,LH/410/97,10464725b
Jean-Louis Pascal,LH/2059/54,12442581n
Jean-Marie-Théophile Desaincthorent,LH/2434/44,10634705f
Jean-Martial Bineau,LH/242/52,10520419z
Jean-Pierre Doguereau,LH/783/42,13169922z
Jean-Pierre Marcassus de Puymaurin,LH/1724/56,150183286
Jean-Pierre Pescatore,LH/2118/31,15011015b
Jean Baptiste Charles Baurot,LH/146/59,17781947c
Jean Darbot,LH/658/38,10497027f
Jean Elleviou,LH/894/65,131745774
Jean Macé,LH/1680/51,12356458v
Jean Monestier,LH/1904/36,103653824
Jean Nicolas Seroux de Fay,LH/2505/9,17750727b
Jean Poirot,LH/2188/63,102512637
Joachim Ambert,LH/28/95,11812487c
Joachim Murat,LH/1967/66,113157512
Jules-Antoine Taschereau,LH/2561/39,12216161x
Jérôme-Paul de Nompère de Champagny,LH/475/1,15088482q
Louis-Hyacinthe Levesque,LH/1627/18,10687894x
Louis-Nicolas Lemercier,LH/1579/31,12528764t
Louis Ricard,LH/2317/68,10670448r
Léopold Javal,LH/1358/58,10314768d
Marcel Plaisant,19800035/185/24023,127699414
Marie Jean Pierre Pie Frédéric Dombidau de Crouseilhes,LH/785/64,10740894k
"Charles-Jean-Melchior, marquis de Vogüé",LH/2736/2,11928621t
Paul Bignon,19800035/230/30543,13209937x
Paul Frogier de Ponlevoy,LH/1040/13,132105297
Paul Jérémie Bitaubé,LH/245/91,12544381r
Paul Magnaud,LH/1685/69,10280008x | 12459271d
Jean-Jacques Bourassé,LH/321/66,11893374n
Jean Aquistapace,LH/44/45,14659580t
Jean Ballet,LH/99/23,12534828g
Jean Brun,LH/380/58,10887270m
Jean Chiappe,LH/527/7,10889953f
Jean Jacques Anatole Bouquet de La Grye,LH/321/34,12718877k
Odon Debeaux,LH/677/62,104668311
Joseph Cornudet des Chaumettes,LH/593/58,125227573
Jules Godin,LH/1161/54,13377009b
Jules Pellechet,LH/2084/30,15577747f
Louis Alexandre Marie de Musset,LH/1969/62,117740796
Louis Farges,19800035/225/29705,12605130w
Louis Gardiol,19800035/70/8720,170895052
Louis Lafitte,LH/1434/67,14954395m
Louis Nicolas Dubois,LH/813/32,125673095
Louis Puech,19800035/207/27206,158041234
Léon-Victorin Legrand,LH/1561/65,10692904d
Léonce Curnier,LH/641/71,128154470
Léonce Guilhaud de Lavergne,LH/1232/17,12545289g
Marie-Théodore de Rumigny,LH/1225/8,107392508
Maurice Berteaux,LH/207/60,132099117
Maurice Croiset,LH/632/49,12038150t
Maurice Dormann,19800035/817/93055,11057162v
Mortimer Ternaux,LH/2576/48,12160774b
Myriam Harry,19800035/1243/43387,12448490s
Napoléon-Joseph de Colbert-Chabanais,LH/563/20,14534934z
Nicolas Henri Carteret,LH/437/74,105832886
Octave Crutel,19800035/429/57370,134062008
Paul-Antoine Bénazet,LH/177/25,10666263b
Paul-François Dubois,LH/813/70,155066375
Paul Baratgin,19800035/670/76970,13388541n
Paul Léon Aclocque,LH/5/81,13209690j
Paul Marchandeau,19800035/947/10099,11119404b
Paul Morin,LH/1939/19,10730897d
Pierre-Jules Mene,LH/1823/51,14914520f
Pierre Commin,19800035/136/17183,11695221x
Pierre Giraud du Plessis,LH/1149/66,12539285v
Pierre Legrand,LH/1562/13,12152632d
Pierre Marie Pietri,LH/2158/4,13316166z
Pierre Roux-Freissineng,19800035/565/64327,113373390
Pierre Vignon,LH/2714/15,10738636k
René Blondelle,19800035/1073/23478,109929503
Robert Picard de La Vacquerie,19800035/969/12445,11327255r
Sébastien Bottin,LH/302/78,12163856d
Théobald de Lacrosse,LH/1430/12,149052361
Théobald Piscatory,LH/2792/129,13211765w
Théodore Chabert,LH/465/38,16191396z
Théodore Humann,LH/1324/63,11822157t
Théophile David,LH/674/26,13496736h
Vincent Prosper Ribard,LH/2313/39,103716706
Xavier Reille,19800035/1369/58277,130216524
Édouard Delamarre,LH/699/59,104669439
Émile-Justin Menier,LH/1825/59,122236802
Émile Garet,LH/1073/29,12136499p
Émile Rigaud,LH/2329/42,178005226
Étienne Flandin,LH/980/35,103945315
Fernand Cabrol,LH/788/32,13163511r
Jean-François-Aimé Dejean,C/0/54,12539294t | 15315195k
Camille Crémer,LH/625/47,12557774h
Marcel Prévost,LH/2772/31,11994223w
Jules Desnoyers,LH/753/86,130112864
Cornelis Rudolphus Theodorus Krayenhoff,LH/1408/44,161707387
Jean-Marie Valhubert,LH/2664/73,155122735
Pierre-Henri de Valenciennes,LH/2662/101,13602771j
Achille Millien,LH/1879/27,119161610
Théodore Chassériau,LH/500/62,126479950
Jean-Pierre-Armand David,LH/673/32,15360031w
Alexandre Guilmant,LH/1243/58,13894814p
Antoine-Louis-Claude Destutt de Tracy,LH/761/40,12013999r
Gaspard de Chabrol,LH/467/20,15021512w
Victorien Sardou,LH/2459/68,11923708p
François-Christophe Kellermann,LH/1396/34,12515466r
François Coignet,LH/561/26,12257743q
Vincent-Marie de Vaublanc,LH/2698/88,12555772b
"Vincent-Marie Viénot, Count of Vaublanc",LH/2698/88,12555772b
Ferdinand Hérold,LH/1294/20,13895164j
Adolphe Messimy,LH/1846/46,12169141w
Adolphe Pinard,LH/2163/54,12366208z
Claude-Victor Perrin,LH/2111/40,145588195 | 14953826x
Antoine Elwart,LH/895/40,14790528j
Émile Boudier,LH/309/19,13003896c
Louis-Joseph-Raphaël Collin,LH/569/97,14849970r
Jean-Nicolas Démeunier,LH/2783/32,11996384v
François Coppée,LH/585/63,11897612w
Samuel Rousseau,LH/2401/84,148338777
Maine de Biran,LH/1696/16,119139995
Luc-Olivier Merson,LH/1842/15,105067410
Auguste François,19800035/146/18610,121436224
François Louis Paul Gervais,LH/1125/50,12436428p
Eugène Fournier,LH/1015/75,124600789 | 15321648p
Jean François Boissonade de Fontarabie,LH/272/69,12234577b
Emmanuel de Margerie,19800035/19/2411,15239988q
René Leriche,19800035/90/11235,12299068f
Frédéric Le Play,LH/1598/2,11911744v
Augustin Savard,LH/2470/83,148035366 | 14804386f
Alexandre-Gabriel Decamps,LH/681/45,140916296
Albert Sarraut,19800035/367/49318,125108461
Victor Segalen,LH/2491/43,11924301d
André Lhote,19800035/381/51092,13091531b
Alexandre Brière de Boismont,LH/364/75,11894015j
Henri Tresca,LH/2627/45,10559795p
Pierre Philippe Denfert-Rochereau,LH/730/59,122043148
Jacqueline Audry,19800035/1415/63582,140074177
Honoré d'Estienne d'Orves,LH/909/31,12039927r
Jean Stern,19800035/366/49143,14316230c
Pierre Cambronne,LH/413/66,12652269h | 14953267v
René Capitant,19800035/1040/19961,12359792k
Léopold Delisle,LH/714/16,11899357h
Amédée Achard,LH/5/24,11888041v
William Bouguereau,LH/312/28,12758427r
Anatole Le Braz,LH/1520/22,11911531z
Dominique-Joseph René Vandamme,LH/2671/47,10737832h
Ernest Mérimée,19800035/205/26814,13002122n
Charles Mangin,LH/1716/39,12459824j
Jean-Marie Saisset,LH/2444/5,10731176r
François-Joseph Naderman,LH/1973/10,147993672
André Godard,19800035/790/89270,125659665
Joseph Achille Le Bel,LH/1513/10,105707817
André Hekking,LH/1278/41,14800512g
Louis Lucien Bonaparte,LH/277/58,12449323m
Louis-Lucien Bonaparte,LH/277/58,12449323m
Paul Gasq,19800035/231/30659,14974519g
Armand du Paty de Clam,LH/1834/49,15322184d
Charles Tournemire,LH/2651/50,13900521g
Émile Faguet,LH/925/15,11902158x
Edgar Quinet,LH/2250/34,11920902f
Juan José Flores,LH/986/59,15370141p
Paul Rosenberg,19800035/849/97279,16589157x
Edmond Laguerre,LH/1443/56,123863168
Anselme Payen,LH/2075/14,121199474
Auguste Geffroy,LH/1105/34,11904504k
Armand Joseph Bruat,LH/377/9,105211766
Alphonse Bertillon,LH/213/57,13012518q
Ulysse Butin,LH/398/23,13748763c
Esprit Jouffret,LH/1379/11,10587511d
Antoine-Adolphe Dupuch,LH/860/69,10721861f
Antoine-François Marmontel,LH/1747/40,13990512c
Louis Michel Antoine Sahuc,LH/2433/36,10715814p
Léon-Paul Fargue,19800035/427/57124,11902269v
Henry Meige,19800035/735/83451,128074280
Alfred Agache,LH/9/58,14869473t
Jehan-Rictus,LH/2265/55,11921932m
Delphin Alard,LH/13/66,148173673
Jean-Baptiste Charles Bélanger,LH/166/34,125680908
Eugène Minkowski,19800035/1213/40021,119162242
Constant Puyo,19800035/206/27045,12235091r
Félix Duban,LH/809/6,12128000z
Jules Célestin Jamin,LH/1351/9,125639718
Alphonse Taillandier,LH/2563/29,12014863q
Reinhold Casimir Oscar Adelswärd,LH/7/80,162960041
Georges Thenault,LH/2645/54,170956198
Rodolphe-Madeleine Cléophas Dareste de la Chavanne,LH/660/60,123297025
Guy-Marie Sallier-Chaumont de La Roche,LH/2448/81,162751368
Charles-Henry Hirsch,19800035/1484/72450,12108524x
François Eugène Berger,LH/187/66,12459783s
Charles Dumas,19800035/144/18302,124591687
Albert Duchesne,LH/824/4,10392855h
Georges Roulleaux-Dugage,LH/2398/24,106773574
Alfred Faure,LH/939/43,124620047
Armand Després,LH/756/65,11899889h
André Berthon,19800035/917/7029,10935566v
Jean-Maurice Le Corbeiller,19800035/232/30821,12619206g
Maurice Braibant,19800035/449/60127,136098825
Émile Trélat,LH/2626/44,12459401s
Florian Desprez,LH/757/30,12440350b
Victor Mottez,LH/1946/74,126271701
Georges Scelle,19800035/354/47625,12305536j
Gaston Ramon,19800035/402/53794,11964945h
Armand Renaud,LH/2296/14,121728640
Jean Mermoz,LH/1841/53,12703266v
Jean-Augustin Barral,LH/119/41,12199354d
Alphée Dubois,LH/811/11,14094490f
Jean-Claude Bouquet,LH/321/15,12516820s
Jacques Marie Cyprien Victor Coste,LH/598/105,125547576
Jean Jacques Marie Cyprien Victor Coste,LH/598/105,125547576
Maurice Raynaud,LH/2275/28,13548152q
Charles Cousin-Montauban,LH/618/85,137438267
Félix Guyon,LH/1252/24,13474474b
Henri Bernstein,19800035/3/389,12242728d
Lionel Terray,19800035/662/76150,126416784
Jean-Pierre de Montalivet,LH/1914/63,119166067
Louis Claude Richard,LH/2322/37,106450665
Jean-Louis Forain,LH/997/1,11953694f
Léon Vaudoyer,LH/2679/33,121279962
Ludovic Halévy,LH/1259/22,11906722j
Narcisse Díaz de la Peña,LH/771/35,14040634h
Achille Devéria,LH/765/63,118999753
Paul Héroult,19800035/551/62916,106604921
Louis Raymond de Montaignac de Chauvance,LH/1914/32,15342677x
Denys Affre,LH/9/49,12210763t
Jean Couzy,19800035/618/69941,14047915r
Jules Champfleury,LH/1330/53,11895986s
Léon Barsacq,19800035/973/12812,140076978
François Thomas Tréhouart,LH/2626/18,106950290
Auguste Chabaud,19800035/865/1530,12655583m
Auguste Maquet,LH/1721/56,12204024r
Michel Louis Félix Ney,LH/1984/23,107153985
André Lefèvre,LH/1548/66,122148036
Jacques Ginoulhiac,LH/1141/64,10739623g
Antelme Édouard Chaignet,LH/468/21,123960159
Marie-Firmin Bocourt,LH/264/19,10343600w
Ferdinand-François-Auguste Donnet,LH/789/46,135986168
Louis Gallouédec,19800035/543/62152,127602113
Alexandre Moret,LH/1935/61,12301173p
Louis Ganne,LH/1068/41,13894279m
Jules Émile Péan,LH/2077/10,13617685c
Félix Pécaut,LH/2077/45,12053672q
Paul d'Ivoi,LH/711/23,119083358
Philibert de Bruillard,LH/378/96,116830748
Joseph-François Malgaigne,LH/1705/62,12462937p
Auguste de Forbin,LH/997/8,14962837j
Hilaire de Chardonnet,LH/203/36,10639603p
Alexandre-Émile Béguyer de Chancourtois,LH/164/66,15289916w
Joseph Bienaimé Caventou,LH/455/68,125602708
Eugène Turpin,LH/2639/64,130237835
Paul Baudry,LH/143/60,12459350q
Alfred Loisy,19800035/130/16452,134757496
Camille Armand Jules Marie de Polignac,LH/2192/16,144332458
René Floriot,19800035/1349/56365,148921779
Jean de Reszke,LH/2303/76,12403128h
Victor Laloux,LH/1452/70,12098140r
Gustave Geffroy,19800035/105/13169,11904505x
Léon Charles Thévenin,19800035/211/27634,105782406
Éleuthère Mascart,LH/1774/34,127363147
Jacques-Émile Blanche,19800035/311/41936,11892269j
Louis Pierre Alexis Pothuau,LH/2206/25,15342148z
Marcel-Frédéric Lubin-Lebrère,19800035/1133/29753,167288342
Auguste Baron,19800035/241/32035,12442457h
Henri Gervex,LH/1126/16,13621794c
Léon Guillet,LH/1240/1,124429378
Jasmin,LH/1356/30,11908643q
Maurice Ordonneau,LH/2020/51,12761576r
Philippe-Édouard Foucaux,LH/1005/77,12039272n
Jules Cloquet,LH/555/33,123566990
Julien Dupré,LH/859/60,14973249b
Gabriel Veyre,19800035/1428/65195,123899666
Louis Joubin,LH/1378/36,12427707k
Louis Breguet,LH/355/98,15563432d
Louis Breguet,LH/355/99,15563432d
Maurice Grammont,19800035/72/8967,123682658
Charles Thévenin,LH/2586/49,149544200
Marcel Brillouin,19800035/176/22722,12095551s
Robert Aron,19800035/1287/48700,11889202r
Henri Patrice Dillon,LH/777/67,10850426c
Aime Ambroise Simon Leborne,LH/1518/31,147928939
Camille-Christophe Gerono,LH/1124/70,145330289
Camille Polonceau,LH/2193/60,104816937
Joseph Souham,LH/2538/31,121603580
Charles Jules Labarte,LH/1412/38,10316696v
Charles Landelle,LH/1465/42,12118934j
Charles Nisard,LH/1992/35,11917740x
René Basset,19800035/166/21263,11890493g
Paul Déroulède,LH/739/64,12026086v
Claude Jacques Lecourbe,LH/1538/49,14955860k
Claudius Popelin,LH/2199/80,12213823k
Gustave Doré,LH/791/57,119004228
Giuseppe Verdi,LH/2686/105,139008052
Édouard Belin,19800035/772/87490,13162815q
Maurice de Broglie,19800035/316/42633,12364711r
Théophile Cart,19800035/243/32380,12835668x
Jules Verne,LH/2692/1,11928016k
Joseph Deniker,LH/731/1,129475315
Édouard Manet,LH/1715/41,121059934
François de Chabaud-Latour,LH/464/23,13168627m | 153421588
Gaston Castel,19800035/1088/25035,120910356
Albert Schweitzer,19800035/661/76005,11924199d
Albert Schweitzer,19800035/661/76005,11924199d
Georges Courteline,LH/1894/69,11897975m
Joseph de Salm-Reifferscheidt-Dyck,C/0/76,12652945f | 16759884g
Joseph zu Salm-Reifferscheidt-Dyck,C/0/76,12652945f | 16759884g
Romain Bussine,LH/397/77,14848352x
François-Joseph Lefebvre,LH/1546/20,100111586
Heinrich Weil,LH/2751/18,122014395
Maurice Chevalier,19800035/1137/30240,12762520c
Arthur Honegger,19800035/166/21397,12007137r
Auguste Regnaud de Saint-Jean d'Angély,LH/2284/50,162376636
Aimable Pélissier,C/0/47,10729660g | 149775045
Pierre Joseph François Bosquet,LH/300/80,13619997p
Jules Harmand,LH/1268/60,12245026h
Georges Méliès,LH/1819/20,122153706
Antoine Dareste de La Chavanne,LH/660/59,11898631d
Louis-Nicolas Davout,LH/675/37,126000772
Paul Reynaud,19800035/706/80585,11921739g
Jacques Hadamard,19800035/408/54579,11906660t
Charles Hermite,LH/1293/72,123816057
Antoine-François Andréossy,LH/36/5,10713990k
Henri Martin,19800035/253/33692,149598100
Théophile Gautier,LH/1098/54,11904435k
Jan Matejko,LH/1786/54,122817776
Paul Valéry,LH/2663/59,119274707
Zinovi Pechkoff,19800035/702/80144,14846975r
Charles Richet,19800035/42/5213,11921904c
Sidonie-Gabrielle Colette,C/0/52,119298072
Camille de Montalivet,LH/86/65,123560651
Claude Ferdinand Gaillard,LH/1054/11,136086215
Auguste Anicet-Bourgeois,LH/327/46,12655133z
Narcisse Fournier,LH/1017/66,12519501d
Théodore Dubois,LH/811/49,13893454k
François Magendie,LH/1684/51,11913883h
Hubert Lyautey,LH/2778/29,119136860
Ferdinand Buisson,LH/390/84,12192766t
Édouard Brissaud,LH/368/19,124236091
Édouard Drouyn de Lhuys,LH/807/49,13069509g
Édouard Goursat,19800035/294/39547,122734095
Édouard Hospitalier,LH/1309/29,105271263
Jean-Baptiste Milhaud,LH/1876/11,12168991d
Édouard Jean Baptiste Milhaud,LH/1876/11,12168991d
Alexandre Millerand,C/0/13,119161432
Élie Faure,LH/940/63,119023512
Georges de Villebois-Mareuil,LH/2718/29,12217280q
Maurice Rollet de l'Isle,19800035/267/35687,154013358
Émile Gentil,LH/1112/44,119045993
Émile Javal,LH/1358/60,119086740
Louis Émile Javal,LH/1358/60,119086740
Émile Mâle,19800035/92/11495,119140857
Émile Picard,LH/2144/15,119196377
Émile Vuillermoz,19800035/338/45485,11928720r
Étienne Mulsant,LH/1965/62,126274836
Pierre Jules César Janssen,LH/1353/69,12109740z
Henri Victor Regnault,LH/2285/49,12537530x
Philippe Pinel,LH/2165/73,11919852p
Jean-Henri Fabre,LH/920/47,11902115n
Michel Adanson,LH/7/49,12170945h
André Jeanbon Saint André,LH/1360/85,121230838
Jean Bon Saint-André,LH/1360/85,121230838
Paul Dassault,C/0/33,112526522
Paul de Ladmirault,LH/1430/55,149052648
Louis Alfred Becquerel,LH/161/78,132083329
Charles Henri Ver-Huell,LH/2690/77,15080228f
Carel Hendrik Ver Huell,LH/2690/77,15080228f
Alfred Giard,LH/1129/23,12292462s
Alfred Mathieu Giard,LH/1129/23,12292462s
Antoine-Augustin Cournot,LH/612/10,11897951m
Henri Félix Emmanuel Philippoteaux,LH/2142/36,11919593f | 14957781r
Marcel Serret,LH/2508/4,10623193f
Gustave Cohen,19800035/134/17002,11897185q
Alfred Roll,LH/2371/65,10556309f
Henri Germain,LH/1123/39,10470353q
Georges Valiron,19800035/100/12565,12141232v
Joseph Laniel,19800035/1318/52533,12774531q
Hyacinthe Prosper Carlier,LH/429/31,10725518f
Albert Laborde,19800035/1252/44587,16258393z
Henri Labrouste,19800035/1469/70078,134890452
Edmond Leclair,LH/1528/51,103609890
Émile Pourésy,19800035/569/64756,10326749t
Pierre-Barthélémy Portal d'Albarèdes,LH/2202/40,13741727t
Pierre-Paul Guieysse,LH/1229/74,12090295c
Pierre Montel,19800035/864/1497,113371608
Pierre Thomas Le Roy de Boisaumarié,LH/1610/24,13320595d
René Reille,LH/2288/28,15342680t
Robert Sérot,19800035/46/5730,109272936
Régis-Marie-Joseph de L'Estourbeillon de La Garnache,19800035/264/35296,12157019r
Thomas-Jacques de Cotton,LH/602/33,150183135
Victor Bousquet,LH/336/68,13373308v
Édouard Allou,LH/24/72,133555101
Édouard Fougeirol,LH/1007/42,10469383m
Émile-François Gaudin,LH/1089/44,13210584c
Émile Chevallier,LH/523/45,121710489
Émile George,LH/1115/40,15057767s
Jacques Charles Emile Jougue,LH/1379/60,12526332m
Émile Martin,LH/1764/19,107202997
Émile Maruéjouls,LH/1771/46,145011212
Émile Rey,LH/2308/83,17019199p
Joseph Fauchet,LH/936/6,11902317w
Gaston Bozérian,LH/1363/28,12983544c
Henri Lorin,LH/1659/74,119133656
Clément-Jacques Goupil,LH/1178/13,13422323n
Edmond Robert,LH/2345/29,107064498
Marcel Vacher,19800035/239/31824,124825119
Alfred Wallach,19800035/826/94171,14422415f
Henri Fréminet,LH/1033/40,132105355
Gaspard Gobaut,LH/1156/72,14952744b
Victor Travot,LH/2625/32,118414821
Eugène Farcy,LH/931/46,13210402x
Pierre-Marie Delaunay,LH/705/70,12181413z
Jean François André,LH/34/93,10716769x
Emmanuel Choque,LH/532/78,13243222b
Pascal Joseph Faure,LH/942/26,10524383r
Louis Estancelin,LH/908/7,137631799
Charles Louis Benjamin Esnault,LH/905/24,106743175
Jacques André Manuel,LH/1721/23,105522661
Frédéric Rihouet,LH/2332/23,10677200w
Alphonse Leret d'Aubigny,LH/1603/7,11021874q
Auguste Mathieu,LH/1788/53,13363705q
Pierre Mazuez,19800035/957/11186,13444495p
Eugène Jolibois,LH/1369/66,10400376x
Jean Baptiste Mougeot,LH/1948/47,13613590q
Henry Becque,LH/161/69,11890904d
Joseph Van Praet,LH/2673/91,12559097q
Jules Petiet,LH/2773/26,13013815r
Jean Patou,19800035/100/12496,14694457n
Frédéric Lichtenberger,LH/1637/60,150539421
Louis de Fourcaud,LH/337/21,128056805
Louis Ratisbonne,LH/2269/71,11921201d
Ulysse Chevalier,LH/521/34,11896615p
Georges Perrot,LH/2113/56,12291177r
Edmond Haraucourt,LH/1266/1,12014925f
Edmond Membrée,LH/1821/46,148490828
Rembrandt Bugatti,LH/389/78,11962793b
Jules Verreaux,LH/2696/6,14062103r
Émile Ripert,19800035/42/5244,11922047d
Jean-François de Bourgoing,LH/330/35,152950279
Louis Antoine Fauvelet de Bourrienne,LH/334/37,122110785
Henry Deutsch de la Meurthe,LH/763/46,148192272
Eirik Labonne,19800035/1099/26080,155680702
Jean-Nicolas Bouilly,LH/314/19,11893260p
Ernest Mercier,19800035/79/9837,12459948t
Xavier Lesage,19800035/928/8233,11183108w
Георгий Лаховский,19800035/1484/72543,12617789w
Louis Archinard,LH/46/72,12545365r
François Georges-Picot,19800035/71/8818,10591519x
Jean-Zuléma Amussat,LH/32/21,14841578g
Théodore Hersart de La Villemarqué,LH/1295/44,119103377
Dumanoir,LH/841/59,145425666
Fernand Point,19800035/98/12242,128388953
George Soulié de Morant,19800035/821/93404,11925235p
Fernand Widal,LH/2756/3,124316866
Jean Baptiste Camille de Canclaux,LH/417/70,107288556
Francis Wey,LH/2754/68,11929106s
François Barthélemy,LH/127/10,121687132
Frédéric Wallerant,19800035/240/31915,12462621g
Louis Andrieux,LH/36/90,120557834
Georges Canetti,19800035/1098/25981,127550524
Georges Contenau,19800035/586/66454,122993490
Georges Houot,19800035/1474/70763,12768090m
Germain Delavigne,LH/706/72,12268158j
Jules-Eugène Lenepveu,LH/1586/34,144079206
Henri Lebasque,19800035/547/62587,119486426 | 14973553d
Marcellin Desboutin,LH/743/22,11991606p
Alexandre de Girardin,LH/1146/50,13483148x
Henri-Pierre Castelnau,LH/446/62,16061626t
Henri Lichtenberger,19800035/552/63070,119129737
Henri Piéron,19800035/826/94155,119197276
Henry Bergasse,19800035/1439/66535,12589500h
Hilarion-François de Chevigné de Boischollet,LH/525/10,119663607
Pierre Pruvost,19800035/888/4038,12314444v
Eugène Criqui,19800035/1452/67939,14976771m
Paul-Eugène Lequeux,LH/1601/52,10529554x
Jean-Baptiste Billot,LH/241/67,118129701
Jean-Baptiste-Gaspard d'Ansse de Villoison,LH/656/65,12074195n
Jean de Hauteclocque,19800035/157/20084,12978791f
Ernest Denis,LH/731/50,12056345q
Roger Jourdain,LH/1381/26,14966207x
Pierre Roche,19800035/248/33061,123847235
Louis-Alexandre Cabié,19800035/157/20113,14970943g
Louis Baraguey d'Hilliers,LH/103/38,12541923h | 14955548w
Louis Vauxcelles,19800035/1289/49004,13547293b
Pierre-Louis Roederer,LH/2365/29,120881725
Ernest Hébrard,LH/1275/64,14612257z
Alphonse Henri d'Hautpoul,LH/770/12,13004562g
Alfred Maury,LH/1805/12,119152793
Alexis Joseph Delzons,LH/723/14,149783056
Charles Wilfrid de Bériot,LH/191/64,148298377
Charles Tellier,LH/2642/2,13763158b
Jacques Zwobada,19800035/876/2857,12307499n
Gaston Wiet,19800035/1091/25370,119291748
Paul de Choudens,LH/534/52,148059719
Théophile Marion Dumersan,LH/1744/42,12462558j
Pierre-Félix Masseau,19800035/1423/64683,14989205c
Pierre Champion,LH/478/47,118959932
Pierre Chantraine,19800035/1250/44276,118960438
Pierre Meinadier,LH/1818/18,132114892
Alain Gerbault,LH/1121/1,11904688q
Richard Waddington,LH/2742/86,129816685
Albert Viger,LH/2711/44,124593783
Guillaume Meignan,LH/1817/48,10682361c
Charles Gumery,LH/1249/34,14975356c
Antoine-Alexandre Barbier,LH/108/65,11890148t
Antoine-François Peyre,C/0/85,14957037b
Hygin-Auguste Cavé,LH/455/24,14511693h | 14658285g
Rodolphe Kreutzer,LH/1409/15,12493995q
Alfred de Glehn,LH/1155/53,16575472g
Achille Jubinal,LH/1385/42,11909168x
Mathurin Méheut,19800035/180/23258,11915441z
Arthur de La Guéronnière,LH/361/89,11886727r
"Louis Étienne Arthur Dubreuil, vicomte de La Guéronnière",LH/361/89,11886727r
Jacques Pellegrin,19800035/1299/53997,13005582b
Louis Dietsch,LH/775/27,13487878r
Adolphe Hatzfeld,LH/1271/3,12442978v
Adolphe Guillaumat,LH/1233/50,14501111r
Adolphe Kégresse,LH/1395/56,16666334v
René-Louis Baire,19800035/1475/70913,12171196f
Eugène Flachat,LH/978/8,13482371r
Alexandre Lenoir,LH/1589/26,12532287v
Pierre Termier,19800035/239/31751,121240000
Henry Bérenger,19800035/3/338,12449438x
Charles Lamy,19800035/158/20182,146548181
Louis Eugène Cavaignac,C/0/1,12459503r
Louis-Eugène Cavaignac,C/0/1,12459503r
Eugène Labiche,LH/1415/46,11910378t
Walter Gay,LH/1102/17,14431291z | 14974574m
Amédée Ozenfant,19800035/777/88039,119855034
Tony Robert-Fleury,LH/984/45,14965754k
Ernest Langlois,19800035/110/13822,119109712
Anna Elizabeth Klumpke,LH/1410/26,13520210q
